outer,cycle,k_used,cycle_start_residual,pre_coarse_residual,post_coarse_residual,pre_residual_ratio,post_residual_ratio,cycle_start_objective,post_cycle_objective,objective_ratio_to_outer_start,objective_delta_to_outer_start,delta_z_norm,delta_e_norm,e_post_norm,e_rel_to_exact,num_groups,coarse_dim
1,1,300,1540574.2553971887,3570919863.983429,3570920260.9906416,2317.9147979873123,2317.915055688109,3350168.410825496,2109409840.4172711,629.6429258902548,2106059672.0064456,200.04280863759183,200.04280863759183,472.1417196518296,0.7408579538296021,61,244
1,2,78,3570920260.9906416,3187877672.2215066,3187877488.539662,0.892732808135326,0.8927327566970884,2109409840.4172711,1491237800.2831547,445.12323483932164,1487887631.8723292,288.8127109053432,288.8127109053432,475.0883906377309,0.687431364581683,61,244
1,3,84,3187877488.539662,1918020838.788004,1918020721.7239726,0.6016607745069376,0.6016607377853158,1491237800.2831547,898594009.0036795,268.2235335095473,895243840.592854,327.45662363207475,327.4566236320747,486.39497069410686,0.5972393720512829,61,244
1,4,92,1918020721.7239726,1261636285.4239752,1261636158.0675688,0.6577803206891216,0.65778025428921,898594009.0036795,560452444.8768346,167.29082725090126,557102276.4660091,455.28285174450815,455.28285174450815,493.80337731008393,0.5574352936601779,61,244
1,5,96,1261636158.0675688,905338163.2786524,905338061.1840473,0.7175905331259266,0.717590452203543,560452444.8768346,461658994.37061256,137.80172748296485,458308825.9597871,563.5916691888823,563.5916691888823,504.1304562208438,0.4903181744404951,61,244
1,6,92,905338061.1840473,691757789.4002166,691757333.8494962,0.7640878242714113,0.7640873210884127,461658994.37061256,103137081.62952821,30.785640893830397,99786913.21870272,772.3367673003307,772.3367673003307,522.5063612873482,0.4452505794535616,61,244
1,7,98,691757333.8494962,683385665.1436385,683385538.8446376,0.9878979689896874,0.9878977864126555,103137081.62952821,281092352.8263102,83.90394701293472,277742184.4154847,1003.8033560513314,1003.8033560513314,521.0640424252913,0.4112489672952257,61,244
1,8,98,683385538.8446376,338572357.3331329,338571715.572936,0.4954338921270394,0.4954329530375205,281092352.8263102,41287264.1155432,12.323936904822594,37937095.7047177,1365.2629801851976,1365.2629801851976,560.1722255251185,0.3470725961009447,61,244
1,9,300,338571715.572936,5624364715.099549,5624364459.743929,16.612033599977238,16.612032845762965,41287264.1155432,218823552.86187267,65.31717992289036,215473384.45104718,1736.1493293317105,1736.14932933171,541.0546158897051,0.2935210985345737,61,244
1,10,86,5624364459.743929,5292490216.033847,5292487702.167131,0.9409934676023481,0.94099302064221,218823552.86187267,989613773.6897534,295.39224669780344,986263605.2789279,2350.5542370096714,2350.5542370096714,630.0981488111389,0.1972783450036282,61,244
1,11,92,5292487702.167131,2945153601.012818,2945152603.482375,0.5564781189395785,0.5564779304591325,989613773.6897534,412777337.4057953,123.2109215978444,409427168.9949698,3171.446964577968,3171.446964577968,551.9430130166123,0.2922180139384051,61,244
1,12,92,2945152603.482375,1680965338.9280956,1680961566.107502,0.570756617820247,0.5707553367930469,412777337.4057953,4413065526.931172,1317.2667716258995,4409715358.520347,4303.510088218389,4303.510088218388,702.714986423581,0.17267913020870082,61,244
1,13,84,1680961566.107502,1655022393.324452,1655003194.011353,0.9845688483865126,0.984557426761244,4413065526.931172,1655284816.924239,494.0900318848058,1651934648.5134134,5843.046572721787,5843.046572721785,522.1958385707203,0.3943132397020641,61,244
1,14,92,1655003194.011353,665872422.2285854,665848335.938501,0.40233905568161554,0.402324502060105,1655284816.924239,17123035949.628668,5111.097070313988,17119685781.217842,7946.729382259933,7946.729382259931,815.2280201208818,0.2962099822456725,61,244
1,15,300,665848335.938501,27924464226.743378,27924462201.589886,41.93817528639515,41.93817224493153,17123035949.628668,5593834413.640167,1669.7173776591787,5590484245.2293415,10304.053661465672,10304.053661465674,603.8303258300617,0.47941026981745327,61,244
1,16,84,27924462201.589886,2939381087.514153,2939300004.0481877,0.10526186919176544,0.10525896552023258,5593834413.640167,128628793732.96469,38394.72467035469,128625443564.55386,13952.23426155559,13952.234261555588,1208.03091620829,0.8886152405366159,61,244
1,17,300,2939300004.0481877,54222117526.31334,54222116923.42207,18.44728930413202,18.44728909901813,128628793732.96469,26305755205.03224,7852.069501947928,26302405036.621418,18172.04634913014,18172.046349130145,952.7882781305758,0.9927358487074639,61,244
1,18,84,54222116923.42207,10561299724.99501,10561253753.915474,0.19477844695570887,0.19477759912677586,26305755205.03224,687118845395.1804,205099.79234920646,687115495226.7697,24581.026834837998,24581.026834838,1927.8232951868215,1.9536092699067649,61,244
1,19,94,10561253753.915474,6321792912.79939,6321774519.348028,0.5985835640447188,0.5985818224473867,687118845395.1804,68553420483.84712,20462.67890961196,68550070315.436295,33497.20822994032,33497.20822994032,889.0947922839732,1.2119591672316352,61,244
1,20,92,6321774519.348028,1528538694.6247787,1528260646.9575388,0.24178949912665007,0.24174551659193788,68553420483.84712,1956887509059.5686,584116.1604700888,1956884158891.1577,45464.29292602409,45464.2929260241,2478.761309422098,2.727139482439289,61,244
