actual_outer,start_objective,c,k,ck_cost,best_beta,best_objective,objective_delta,gap_to_direct_optimum,improves,raw_full_step_objective,linear_residual_approx,e_rel_to_exact,exact_after_objective,exact_step_norm,last_cycle_pre_residual_ratio,last_cycle_post_residual_ratio
10,173695.06897408966,1,100,100,0.001,114173.46871743389,-59521.60025665577,114065.54965685986,True,4686721195520.869,631217311762.0146,44.793825005147745,1214874.1307053445,187.94243565966985,750.604388334418,750.6046169067513
10,173695.06897408966,3,300,900,0.02,120704.15456002008,-52990.914414069586,120596.23549944605,True,187066855507.539,17914091998.62432,9.009975257179866,1214874.1307053445,187.94243565966985,0.43385801291181186,0.4338582352423767
10,173695.06897408966,10,300,3000,0.001,151495.4313621333,-22199.637611956365,151387.51230155927,True,443911898636.0867,245855567645.80133,34.468202879209144,1214874.1307053445,187.94243565966985,1.2114147686971959,1.211415269640716
10,173695.06897408966,8,300,2400,0.002,160378.18393363498,-13316.885040454683,160270.26487306095,True,6564479971.460327,96834536418.09192,18.053210079104343,1214874.1307053445,187.94243565966985,1.2098937306759372,1.2098943476177708
10,173695.06897408966,1,50,50,0.0,173695.06897408966,0.0,173587.14991351563,False,159685898007253.47,8568839115542.794,103.53090971920076,1214874.1307053445,187.94243565966985,10189.533367196667,10189.53390822485
10,173695.06897408966,1,200,200,0.0,173695.06897408966,0.0,173587.14991351563,False,175707871059.72705,500527641188.4961,19.800949587636076,1214874.1307053445,187.94243565966985,595.1964799427963,595.1965374916382
10,173695.06897408966,2,50,100,0.0,173695.06897408966,0.0,173587.14991351563,False,962149300923.1283,542692588367.1863,54.810907512358966,1214874.1307053445,187.94243565966985,0.0633332756798975,0.0633332684917389
10,173695.06897408966,2,100,200,0.0,173695.06897408966,0.0,173587.14991351563,False,7775146312.391309,479427982438.7363,27.99500327675321,1214874.1307053445,187.94243565966985,0.7595291662279392,0.7595292041348403
10,173695.06897408966,2,200,400,0.0,173695.06897408966,0.0,173587.14991351563,False,4898226578.087667,167257945788.49768,13.368296348041714,1214874.1307053445,187.94243565966985,0.33416323615931115,0.3341632549829735
10,173695.06897408966,2,300,600,0.0,173695.06897408966,0.0,173587.14991351563,False,27371871970.09017,41290196989.38419,10.248094278121137,1214874.1307053445,187.94243565966985,0.16995502029524814,0.16995501942328275
10,173695.06897408966,3,50,150,0.0,173695.06897408966,0.0,173587.14991351563,False,16853651450.569666,478707679001.6278,30.37907471066413,1214874.1307053445,187.94243565966985,0.8820973084912845,0.8820973222463355
10,173695.06897408966,3,100,300,0.0,173695.06897408966,0.0,173587.14991351563,False,11015086053.476963,394663260266.9177,20.57453432407268,1214874.1307053445,187.94243565966985,0.8231959924130972,0.823196131063021
10,173695.06897408966,3,200,600,0.0,173695.06897408966,0.0,173587.14991351563,False,175477363573.82455,65797605085.895515,10.95432707728203,1214874.1307053445,187.94243565966985,0.39338990446324307,0.39339001071493734
10,173695.06897408966,5,100,500,0.0,173695.06897408966,0.0,173587.14991351563,False,1587397044210.4824,427615218464.78394,16.001442538836933,1214874.1307053445,187.94243565966985,1.8044639501974853,1.804464332202931
10,173695.06897408966,5,200,1000,0.0,173695.06897408966,0.0,173587.14991351563,False,795521241200.5466,73878714368.14958,9.030150572926726,1214874.1307053445,187.94243565966985,1.6689980790584367,1.6689987192499574
10,173695.06897408966,5,300,1500,0.0,173695.06897408966,0.0,173587.14991351563,False,364190712839.8668,53219361827.894714,8.265697269117199,1214874.1307053445,187.94243565966985,3.2851532777059402,3.2851543602179873
