outer,direct_newton_objective,persistent_residual_mg_objective,mg_minus_direct
0,812.7548653692855,812.7548653692855,0.0
1,85.69850470281511,85.68340184663509,-0.015102856180021718
2,26.776354143093155,26.77632829978771,-2.5843305444084308e-05
3,26.770034335761316,26.770034290585063,-4.517625384892199e-08
4,26.770030027892545,26.770030040951905,1.3059359815770222e-08
5,26.770030023123468,26.770030038497467,1.5373998962786573e-08
6,26.770030023116277,26.77003003855629,1.5440011935652365e-08
7,26.770030023118103,26.770030038539712,1.5421608878796178e-08
8,26.770030023115613,26.7700300385569,1.5441287359863054e-08
9,26.77003002311523,26.77003003856288,1.5447650270061786e-08
10,26.770030023115726,26.77003003855346,1.5437734646184254e-08
11,26.770030023117688,26.770030038560577,1.5442889633732193e-08
12,26.77003002311525,26.770030038550782,1.5435531963703397e-08
13,26.770030023115872,26.770030038547482,1.5431609767802e-08
14,26.77003002311803,26.770030038560602,1.544257344221478e-08
15,26.77003002311642,26.77003003855629,1.5439869827105213e-08
16,26.77003002311779,26.77003003855851,1.5440718925674446e-08
17,26.77003002311545,26.770030038559074,1.5443625045463705e-08
18,26.77003002311579,26.770030038549596,1.54338053448555e-08
19,26.77003002311532,26.770030038544693,1.5429371558184357e-08
20,26.77003002311786,26.770030038550537,1.543267558190564e-08
